mlbamid,steamerid,firstname,lastname,Team,position,bats,p1,p2,p3,p4,p5,p6,p7,p8,p9,gC,g1B,g2B,g3B,gSS,gLF,gCF,gRF,gDH,gUIF,gUOF,posadj,age,reliability,G,PA,IBB,NIBB,BB,K,HBP,RBOE,SH,SF,AB,H,1B,2B,3B,HR,AVG,OBP,SLG,wOBA,wOBAcon,SB,CS,wSB,UBR,BaseRunning,UZR,R,RBI,BABIP,wRAA,DEF_adj
594555,11608,Garin,Cecchini,BOS,3b,L,0.07,0.07,0.077,0.07,0.077,0.133,0.217,0.266,0.021,0,0,0,0.2,0,0,0,0,0,0,0,0.003333,26,0.8,0.2,1,0.003,0.0669,0.0699,0.1984,0.009,0.0092,0.0056,0.0075,0.9081,0.2329,0.1659,0.0491,0.0046,0.0133,0.256454,0.313543,0.36455,0.295891,0.33907,0.0177,0.0092,-0.0005,0.001,0.0005,-0.003,0.1039,0.0989,0.31197613,-0.018,0.003333333333
598265,12984,Jackie,Bradley Jr.,BOS,CF,L,0.053,0.003,0.001,0.019,0.09,0.389,0.194,0.095,0.155,0,0,0,0,0,0,134.9,0,0,0,0,2.24883,27,0.85,134.9298,537.7,3.2262,47.8008,51.027,122.8007,6.4524,4.9468,2.8908,3.9149,473.4149,123.405,74.9132,28.3876,4.4667,15.6375,0.260674,0.338226,0.438608,0.333409,0.39802,6.6953,3.6052,-0.2941,0.823,0.5289,6.396,65.1272,65.06,0.31799992,6.836,2.24883
593523,13154,Marco,Hernandez,BOS,3B,L,0.02,0.2,0.05,0.01,0.07,0.04,0.07,0.2,0.34,0,0,3.2,8.1,0,0,0,0,0,0,0,0.189,24,0.72,11.34,45.3,0.0906,1.9909,2.0815,9.0825,0.2265,0.4168,0.3035,0.3456,42.3429,11.7945,8.5063,2.0976,0.5527,0.6379,0.278535,0.313402,0.39937,0.306526,0.36759,0.7569,0.4111,-0.03,0.075,0.045,-0.244,5.0104,4.843,0.33840591,-0.429,0.189
518490,10607,Bryce,Brentz,BOS,OF,R,0.027,0.053,0.013,0.048,0.021,0.053,0.268,0.316,0.202,0,0,0,0,0,0,0,0,0,0,0.2,-0.005333,28,0.75,0.2,1,0,0.0599,0.0599,0.2814,0.007,0.0092,0.0066,0.0076,0.9188,0.2248,0.1445,0.0487,0.0023,0.0293,0.24464,0.293661,0.398181,0.298383,0.39213,0.0076,0.0043,-0.0005,0.001,0.0005,-0.006,0.1091,0.1174,0.31752477,-0.016,-0.005333333333
592710,11167,Josh,Rutledge,BOS,SS,R,0.031,0.197,0.053,0.04,0.088,0.079,0.246,0.115,0.152,0,0,0,0,1.6,0,0,0,0,0,0,0.081,28,0.76,1.62,6.6,0.0066,0.4087,0.4153,1.6811,0.0792,0.0607,0.0381,0.0492,6.0181,1.4898,1.0072,0.3414,0.025,0.1163,0.247563,0.302414,0.370545,0.293101,0.36473,0.0903,0.0472,-0.0031,0.014,0.0109,-0.128,0.699,0.6754,0.3216703,-0.136,0.081
592407,11287,Bryan,Holaday,BOS,C,R,0.018,0.033,0.025,0.045,0.01,0.016,0.147,0.378,0.328,0.2,0,0,0,0,0,0,0,0,0,0,0.016667,29,0.7,0.2,1,0,0.0509,0.0509,0.233,0.011,0.0092,0.0071,0.0077,0.9232,0.2191,0.1533,0.0454,0.0038,0.0166,0.237237,0.282975,0.348509,0.275389,0.33367,0.0103,0.0059,-0.0006,0.001,0.0004,0.001,0.0985,0.0992,0.29722589,-0.035,0.01666666667
625329,14441,Henry,Urrutia,BAL,OF,L,0.067,0.067,0.033,0.033,0.033,0.067,0.2,0.367,0.133,0,0,0,0,0,0,0,0,0,0,0.2,-0.005333,30,0.79,0.2,1,0.002,0.058,0.06,0.1911,0.004,0.0092,0.0067,0.0076,0.9217,0.2503,0.187,0.0428,0.002,0.0184,0.271534,0.316403,0.382398,0.303297,0.35272,0.0058,0.0036,-0.0006,0,-0.0006,-0.005,0.1048,0.1024,0.32217283,-0.012,-0.005333333333
570731,11265,Jonathan,Schoop,BAL,2B,R,0.028,0.075,0.001,0.026,0.118,0.374,0.274,0.08,0.024,0,0,137.5,0,0,0,0,0,0,0,0,2.29095,25,0.82,137.457,556.2,0,21.1394,21.1394,115.8958,6.6744,5.117,2.7178,4.0378,521.6306,136.2456,85.2529,27.0749,0.8892,23.0286,0.261196,0.296418,0.448954,0.317443,0.38517,2.7068,1.666,-0.2774,-0.161,-0.4384,-0.359,64.6183,74.0838,0.29274404,-0.256,2.29095
572138,10441,Jon,Singleton,HOU,1B,L,0.021,0.021,0.073,0.162,0.135,0.21,0.185,0.158,0.033,0,0.2,0,0,0,0,0,0,0,0,0,-0.016667,25,0.8,0.2,1,0.007,0.1233,0.1303,0.276,0.005,0.0092,0.0044,0.0074,0.8529,0.1808,0.1036,0.0372,0.0018,0.0383,0.212111,0.317618,0.394526,0.309466,0.3764,0.0041,0.0026,-0.0005,0.002,0.0015,-0.004,0.1159,0.1182,0.26098901,-0.007,-0.01666666667
493114,13075,Nori,Aoki,HOU,LF,L,0.154,0.093,0.001,0.002,0.001,0.003,0.003,0.17,0.574,0,0,0,0,0,92,0,0,0,0,0,-4.59837,35,0.84,91.9674,361.6,0,27.4118,27.4118,38.9276,4.7008,3.3267,2.9546,2.7184,323.8144,87.6565,65.2737,15.1672,2.438,4.7776,0.270702,0.33395,0.376867,0.312097,0.31451,8.3547,4.1337,-0.1407,-0.506,-0.6467,-1.268,41.3407,34.4122,0.29303682,-1.761,-4.59837
605512,13633,Preston,Tucker,HOU,DH,L,0.007,0.026,0.017,0.009,0.02,0.195,0.197,0.35,0.18,0,0,0,0,0,0,0,0,8,0,0,-0.92988,26,0.79,7.9704,31.1,0.0933,1.9489,2.0422,7.4921,0.2488,0.2861,0.2005,0.2363,28.3722,6.7943,4.154,1.3841,0.115,1.1412,0.239477,0.294035,0.41704,0.304242,0.37578,0.1926,0.117,-0.0171,0.043,0.0259,0,3.5021,3.8522,0.28300593,-0.353,-0.92988
643393,14894,Tony,Kemp,HOU,2B,L,0.058,0.043,0.065,0.022,0.022,0.043,0.181,0.13,0.435,0,0,4.9,0,0,4.9,3.2,0,0,0,0,-0.108,25,0.78,12.96,50.8,0,4.3131,4.3131,7.5871,0.4572,0.4674,0.3442,0.3839,45.3015,11.9962,9.2246,1.8709,0.4592,0.4415,0.264813,0.332306,0.355623,0.304092,0.31905,1.6697,0.919,-0.0596,0.03,-0.0296,-0.322,5.3808,4.5755,0.30684232,-0.583,-0.108
545358,10059,Max,Stassi,HOU,C,R,0.038,0.038,0.038,0.019,0.041,0.105,0.162,0.447,0.113,7.5,0,0,0,0,0,0,0,0,0,0,0.62775,26,0.73,7.533,29.7,0.0297,1.6511,1.6808,8.573,0.2376,0.2732,0.1973,0.2281,27.3563,5.7416,3.8029,1.1038,0.1002,0.7347,0.209871,0.259626,0.338109,0.259877,0.33792,0.1576,0.0942,-0.0139,0.019,0.0051,-0.022,2.81,2.9743,0.27394989,-1.424,0.62775
594828,11003,Evan,Gattis,HOU,C,R,0.001,0.001,0.005,0.148,0.284,0.4,0.138,0.012,0.012,69.4,0,0,0,0,0,0,0,32,0,0,2.051135,30,0.84,101.331,413.3,3.7197,24.2293,27.949,94.9472,3.7197,3.8024,1.4368,3.0215,377.173,92.0585,51.8785,16.8231,1.9921,21.3648,0.244067,0.300401,0.469162,0.323515,0.39903,1.4846,0.9612,-0.193,-0.686,-0.879,0.417,51.0082,60.8109,0.2678984,1.881,2.05113546
545350,11339,Jake,Marisnick,HOU,CF,R,0.007,0.002,0.003,0.006,0.005,0.009,0.019,0.235,0.715,0,0,0,0,0,30,39,7.5,0,0,0,-1.226264,26,0.79,76.5774,287.1,0.2871,14.2193,14.5064,75.94,3.1581,2.6413,2.2871,2.2432,264.9053,61.7231,40.8464,13.2323,1.2518,6.3926,0.232999,0.278734,0.364785,0.278512,0.35531,12.8168,5.6512,0.1765,0.603,0.7795,4.604,30.525,29.6103,0.29938171,-9.354,-1.2262644
547172,11470,Tony,Wolters,COL,C,L,0.002,0.01,0.004,0.006,0.004,0.007,0.016,0.938,0.012,81.1,0,0,0,0,0,0,0,0,0,0,6.76215,25,0.7,81.1458,310.7,1.2428,23.6983,24.9411,67.3415,2.4856,2.8584,2.4732,2.513,278.2871,68.1524,48.68,13.4135,1.7291,4.3298,0.244888,0.310083,0.352189,0.289926,0.3358,3.8735,2.6806,-0.4142,0.55,0.1358,0.416,27.5373,28.5256,0.30518322,-7.197,6.76215
621311,13744,David,Dahl,COL,LF,L,0.014,0.083,0.01,0.04,0.22,0.363,0.235,0.03,0.005,0,0,0,0,0,108,5,0,0,0,0,-5.316786,23,0.76,112.9788,461,0.922,29.5363,30.4583,109.1509,2.305,4.2412,1.9912,3.3734,422.8721,114.7113,75.5078,21.5766,4.0981,13.5288,0.271261,0.321284,0.437641,0.324945,0.40413,12.3326,6.907,-0.4942,0.959,0.4648,0.792,51.449,56.9648,0.33331324,2.642,-5.316786
606132,14350,Raimel,Tapia,COL,RF,L,0.344,0.031,0.016,0.016,0.047,0.031,0.172,0.125,0.219,0,0,0,0,0,0,1.6,4.9,0,0,0,-0.216,23,0.77,6.48,26.8,0.0536,1.0084,1.062,3.9628,0.1876,0.2466,0.2026,0.1918,25.1559,7.3675,5.5527,1.1119,0.2911,0.4118,0.292864,0.323975,0.409305,0.315499,0.3559,1.0361,0.6486,-0.0668,0.041,-0.0258,0.162,2.9528,2.7153,0.33164864,-0.055,-0.216
641958,15119,Jordan,Patterson,COL,LF,L,0.05,0.05,0.125,0.125,0.025,0.15,0.175,0.15,0.15,0,0,0,0,0,8.1,0,0,3.4,0,0,-0.8019,25,0.77,11.502,46.6,0.0932,2.9383,3.0315,11.3586,0.8388,0.4287,0.2403,0.3434,42.146,10.7539,7.2287,2.0487,0.3199,1.1566,0.255151,0.315444,0.401263,0.310344,0.3808,0.7783,0.4551,-0.0441,0.056,0.0119,-0.011,4.9573,5.198,0.32018536,-0.294,-0.8019
506924,11204,Stephen,Cardullo,COL,DH,R,0.027,0.054,0.068,0.014,0.014,0.081,0.419,0.135,0.189,0,8,0,0,0,0,0,0,16.8,0,0,-2.625184,29,0.65,24.786,98.2,0.3928,5.7923,6.1851,15.8687,0.7856,0.9034,0.5909,0.7341,89.9043,25.1002,16.6494,4.8928,0.6247,2.9334,0.279199,0.328575,0.445406,0.330765,0.3726,1.1953,0.693,-0.0729,0.004,-0.0689,0.004,11.0399,12.2833,0.3085738,1.034,-2.625183871
600303,12371,Tommy,La Stella,CHN,2B,L,0.019,0.021,0.001,0.003,0.009,0.028,0.257,0.595,0.066,0,0,18.6,0,0,0,0,0,0,0,0,0.30969,28,0.75,18.5814,72,0.216,6.473,6.689,9.544,0.576,0.6624,0.5234,0.5626,63.649,17.3608,12.4968,3.7627,0.2881,0.8131,0.272762,0.344533,0.379258,0.317488,0.32781,0.5763,0.3428,-0.0487,-0.045,-0.0937,-0.761,6.9276,6.9784,0.3072668,-0.03,0.30969
493128,13047,Munenori,Kawasaki,CHN,SS,L,0.032,0.085,0.025,0.017,0.038,0.111,0.16,0.26,0.273,0,0,0,0,0.2,0,0,0,0,0,0,0.01,36,0.76,0.2,1,0.006,0.0868,0.0928,0.1885,0.007,0.0092,0.0067,0.0076,0.8859,0.2113,0.1684,0.0362,0.0032,0.0035,0.238501,0.313216,0.298485,0.273413,0.2938,0.0275,0.0149,-0.0009,0,-0.0009,-0.011,0.087,0.0759,0.29622238,-0.037,0.01
519333,11255,Matt,Szczur,CHN,LF,R,0.016,0.005,0.007,0.008,0.014,0.134,0.143,0.609,0.062,0,0,0,0,0,23.2,0,3.6,14.2,0,0,-2.999252,27,0.77,41.0022,159.1,0.6364,10.0775,10.7139,31.0934,1.2728,1.4637,1.1145,1.2368,144.7619,35.9085,25.8606,6.5275,0.6364,2.884,0.248052,0.303162,0.361706,0.289191,0.33098,3.9371,2.1954,-0.1573,0.232,0.0747,0.591,14.6415,15.9029,0.29480554,-3.782,-2.9992518
594809,11205,Adam,Eaton,WAS,CF,L,0.625,0.311,0.038,0,0.002,0.018,0.002,0.003,0,0,0,0,0,0,0,143.6,0,0,0,0,2.39328,28,0.87,143.5968,650.7,1.3014,51.4911,52.7925,107.6856,9.7605,5.9864,5.3408,4.2744,578.5318,166.4845,120.5167,30.2977,5.7533,9.9168,0.287779,0.354907,0.411461,0.333936,0.36627,13.8295,6.9667,-0.3086,2.648,2.3394,-4.559,85.2824,57.2154,0.33655723,8.556,2.39328
544925,11385,Matt,den Dekker,WAS,OF,L,0.164,0.03,0.08,0.021,0.029,0.133,0.102,0.14,0.301,0,0,0,0,0,0,0,0,0,0,0.2,-0.005333,29,0.81,0.2,1,0.001,0.0772,0.0782,0.2523,0.009,0.0092,0.0066,0.0074,0.8988,0.2137,0.1462,0.0433,0.0034,0.0207,0.237633,0.302779,0.36263,0.291279,0.35454,0.0295,0.0144,-0.0003,0.003,0.0027,-0.004,0.1032,0.0996,0.30480101,-0.022,-0.005333333333
547180,11579,Bryce,Harper,WAS,RF,L,0.02,0.032,0.622,0.3,0.001,0.019,0.003,0.002,0.001,0,0,0,0,0,0,0,139.2,0,0,0,-6.96114,24,0.83,139.2228,603,15.678,88.953,104.631,110.4999,4.221,5.5476,0.9863,4.4225,488.7391,139.5496,80.8759,27.1609,1.742,29.7708,0.285535,0.412622,0.530974,0.395637,0.44275,14.9851,8.8386,-0.8357,1.924,1.0883,4.303,90.8981,91.0194,0.31108425,38.626,-6.96114
571718,12858,Brian,Goodwin,WAS,CF,L,0.031,0.094,0.047,0.016,0.016,0.219,0.203,0.094,0.281,0,0,0,0,0,0,11.3,0,0,0,0,0.189,26,0.79,11.34,45.1,0.0902,3.3485,3.4387,11.2088,0.2706,0.4149,0.2716,0.3329,40.7862,9.9376,6.889,1.9651,0.1704,0.9131,0.24365,0.304425,0.367349,0.292934,0.35826,0.9732,0.5356,-0.0376,0.029,-0.0086,-0.651,4.4965,4.6221,0.3112197,-0.933,0.189
571980,13359,Tyler,Naquin,CLE,CF,L,0.005,0.003,0.002,0.004,0.001,0.011,0.415,0.266,0.293,0,0,0,0,0,0,102,7.3,0,0,0,1.335463,26,0.78,109.2852,419.4,2.9358,32.4316,35.3674,112.5256,3.7746,3.8585,2.924,3.2169,374.1172,97.7242,66.5616,18.2166,2.8748,10.0713,0.261222,0.328638,0.406049,0.316791,0.40472,8.0436,4.4465,-0.3377,0.692,0.3543,-4.436,46.7618,47.0746,0.34409148,-0.418,1.3354632
570482,10681,Giovanny,Urshela,CLE,3B,R,0.03,0.02,0.02,0.03,0.02,0.099,0.218,0.356,0.208,0,6.2,0,37.5,0,0,0,0,0,0,0,0.104143,25,0.79,43.74,170.7,0,7.2769,7.2769,25.9177,1.0242,1.5704,1.1443,1.3027,159.952,40.0524,27.7245,8.0955,0.5247,3.7077,0.250411,0.285186,0.377128,0.285801,0.31852,0.6749,0.4154,-0.0786,-0.09,-0.1686,1.373,17.1299,18.6218,0.27611406,-4.535,0.1041428571
592419,10882,Jared,Hoying,TEX,OF,L,0.083,0.063,0.115,0.052,0.031,0.104,0.115,0.354,0.083,0,0,0,0,0,0,0,0,0,0,0.2,-0.005333,28,0.82,0.2,1,0.003,0.0561,0.0591,0.2278,0.006,0.0092,0.0061,0.0075,0.9213,0.2187,0.1393,0.0419,0.0065,0.031,0.237425,0.28556,0.397862,0.292747,0.35617,0.0235,0.013,-0.0009,0.001,0.0001,-0.004,0.1099,0.1169,0.28014925,-0.021,-0.005333333333
592592,11192,Brett,Nicholas,TEX,C,L,0.08,0.04,0.02,0.02,0.02,0.2,0.1,0.32,0.2,3,0,0,0,0,0,0,0,0,0,0,0.2511,28,0.82,3.0132,11.9,0.0238,0.6916,0.7154,2.6574,0.0952,0.1095,0.0793,0.0891,10.921,2.7364,1.9157,0.5337,0.0213,0.2657,0.250559,0.300067,0.37631,0.293309,0.35258,0.0826,0.0479,-0.0064,0.005,-0.0014,0.01,1.2338,1.2483,0.30551502,-0.242,0.2511
596059,12282,Rougned,Odor,TEX,2B,L,0.03,0.213,0.027,0.099,0.453,0.091,0.043,0.026,0.019,0,0,144.1,0,0,0,0,0,0,0,0,2.40111,23,0.82,144.0666,606.4,0.6064,26.5884,27.1948,109.179,7.2768,5.5789,2.4819,4.6091,564.8374,155.211,93.6795,30.2843,4.8295,26.4177,0.274783,0.314081,0.485809,0.338612,0.3965,12.538,8.3239,-1.0583,2.189,1.1307,-5.876,78.1238,88.7804,0.29686149,10.313,2.40111
608336,14128,Joey,Gallo,TEX,LF,L,0.007,0.009,0.016,0.02,0.153,0.062,0.396,0.291,0.047,0,11.9,0,9,0,14.9,0,0,11.9,0,0,-2.98586,23,0.76,47.7738,188.4,1.6956,20.5555,22.2511,68.1531,1.3188,1.7333,1.0914,1.4486,162.2901,35.2248,18.5898,6.0385,0.9543,9.6422,0.217044,0.313889,0.444251,0.322725,0.47534,1.3526,0.7543,-0.0873,0.349,0.2617,0.581,23.3336,25.7323,0.297668,0.734,-2.9858598
608577,14553,Nomar,Mazara,TEX,RF,L,0.043,0.123,0.066,0.021,0.182,0.211,0.243,0.048,0.062,0,0,0,0,0,7.8,0,124.7,0,0,0,-6.62499,22,0.79,132.4998,543.4,1.0868,39.3407,40.4275,102.5866,5.434,4.9993,2.6568,4.017,490.8647,133.4247,92.193,20.0985,2.8087,18.3245,0.271809,0.331549,0.436184,0.330463,0.37921,2.3561,1.5064,-0.3108,-0.103,-0.4138,2.487,64.2193,68.01,0.30777874,5.588,-6.62499
595005,10937,Ryan,Strausborger,TEX,OF,R,0.059,0.118,0.118,0.059,0.078,0.059,0.157,0.118,0.235,0,0,0,0,0,0,0,0,0,0,0.2,-0.005333,29,0.78,0.2,1,0,0.0571,0.0571,0.2288,0.008,0.0092,0.0057,0.0075,0.9217,0.2112,0.1511,0.0393,0.0035,0.0172,0.229064,0.277819,0.335423,0.268458,0.31996,0.0327,0.0137,0.0007,0.001,0.0017,-0.006,0.0985,0.0948,0.28395785,-0.041,-0.005333333333
574831,11376,Michael,Choice,TEX,OF,R,0.168,0.052,0.022,0.014,0.036,0.168,0.135,0.264,0.14,0,0,0,0,0,0,0,0,0,0,0.2,-0.005333,27,0.8,0.2,1,0,0.0714,0.0714,0.2907,0.014,0.0092,0.0068,0.0074,0.9005,0.2078,0.1362,0.0393,0.002,0.0303,0.230786,0.2952,0.379872,0.294033,0.38147,0.007,0.004,-0.0005,0,-0.0005,-0.01,0.1083,0.1086,0.30243653,-0.02,-0.005333333333
